ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
801170.SI,20260203,2263.618,2249.335,2266.132,2234.1,2235.001,28.617,1.2804,40638353.78,26057998.491
801170.SI,20260202,2235.001,2269.973,2281.13,2234.19,2271.679,-36.678,-1.6146,50510865.69,32191333.684
801170.SI,20260130,2271.679,2275.573,2294.43,2256.53,2276.867,-5.188,-0.2279,45632989.97,30621316.668
801170.SI,20260129,2276.867,2266.027,2279.14,2260.42,2269.707,7.16,0.3155,46190146.86,31882552.406
801170.SI,20260128,2269.707,2282.149,2285.58,2263.54,2279.324,-9.617,-0.4219,47869062.2,32677169.671
801170.SI,20260127,2279.324,2296.74,2299.67,2275.14,2298.07,-18.746,-0.8157,39807341.06,27935221.075
801170.SI,20260126,2298.07,2306.292,2307.64,2283.86,2303.963,-5.893,-0.2558,51414452.45,35776628.081
801170.SI,20260123,2303.963,2314.244,2316.926,2295.983,2311.378,-7.415,-0.3208,40021802.5,28885311.941
801170.SI,20260122,2311.378,2305.312,2324.93,2305.29,2304.104,7.274,0.3157,36964774.04,24265474.111
801170.SI,20260121,2304.104,2317.884,2318.71,2299.94,2322.01,-17.906,-0.7711,32695723.69,23182597.947
801170.SI,20260120,2322.01,2294.78,2322.31,2290.54,2293.236,28.774,1.2547,42340392.89,31016115.201
801170.SI,20260119,2293.236,2261.384,2294.14,2261.07,2264.112,29.124,1.2863,38042295.61,28971784.485
801170.SI,20260116,2264.112,2286.744,2289.72,2258.36,2282.29,-18.178,-0.7965,39249941.23,28653690.523
801170.SI,20260115,2282.29,2279.993,2300.28,2278.49,2280.426,1.864,0.0817,36546006.75,28184723.318
801170.SI,20260114,2280.426,2297.823,2308.2,2271.93,2297.833,-17.407,-0.7575,56780527.15,39421851.322
801170.SI,20260113,2297.833,2307.999,2315.59,2293.55,2308.502,-10.669,-0.4622,45924828.17,32971076.339
801170.SI,20260112,2308.502,2285.47,2309.86,2285.15,2285.516,22.986,1.0057,48687168.62,33942865.721
801170.SI,20260109,2285.516,2286.053,2286.84,2275.39,2284.73,0.786,0.0344,36722176.46,25598468.855
801170.SI,20260108,2284.73,2282.499,2288.77,2276.95,2281.081,3.649,0.16,37582692.56,26068181.33
801170.SI,20260107,2281.081,2295.95,2302.59,2279.85,2295.181,-14.1,-0.6143,42415999.96,28260554.11
801170.SI,20260106,2295.181,2271.788,2295.84,2268.0,2273.391,21.79,0.9585,46187830.71,30868162.551
801170.SI,20260105,2273.391,2278.836,2278.84,2264.0,2280.322,-6.931,-0.3039,43921786.77,30087072.367
801170.SI,20251231,2280.322,2265.98,2284.52,2258.76,2265.753,14.569,0.643,38589621.76,26191559.677
801170.SI,20251230,2265.753,2282.423,2282.423,2265.75,2289.902,-24.149,-1.0546,42016357.91,29077779.919
801170.SI,20251229,2289.902,2291.473,2307.16,2285.98,2296.478,-6.576,-0.2864,48421919.36,33773747.206
801170.SI,20251226,2296.478,2287.329,2298.63,2285.56,2289.696,6.782,0.2962,50728327.62,35532986.135
801170.SI,20251225,2289.696,2284.54,2294.12,2279.99,2276.221,13.475,0.592,41058026.3,29140732.697
801170.SI,20251224,2276.221,2267.485,2278.39,2260.71,2273.374,2.847,0.1252,42378010.64,28894937.749
801170.SI,20251223,2273.374,2287.056,2287.45,2270.16,2285.724,-12.35,-0.5403,55365083.46,32139481.49
801170.SI,20251222,2285.724,2269.76,2291.76,2269.76,2265.46,20.264,0.8945,58346727.42,31920127.786
801170.SI,20251219,2265.46,2249.601,2269.71,2242.19,2254.69,10.77,0.4777,38529779.72,27158074.28
801170.SI,20251218,2254.69,2238.091,2260.97,2238.09,2242.854,11.836,0.5277,33143926.84,25518212.652
801170.SI,20251217,2242.854,2221.16,2246.77,2216.54,2220.062,22.792,1.0266,34403399.18,24483734.892
801170.SI,20251216,2220.062,2228.213,2236.94,2212.24,2229.456,-9.394,-0.4214,31740436.29,21329566.915
801170.SI,20251215,2229.456,2213.073,2237.94,2209.55,2220.257,9.199,0.4143,34135620.44,25196563.964
801170.SI,20251212,2220.257,2219.376,2224.584,2212.08,2218.443,1.814,0.0818,42288255.95,31564538.128
801170.SI,20251211,2218.443,2247.884,2247.884,2218.36,2250.282,-31.839,-1.4149,40399520.1,29173854.187
801170.SI,20251210,2250.282,2231.697,2251.0,2229.06,2233.39,16.892,0.7563,41967986.19,29572279.026
801170.SI,20251209,2233.39,2255.878,2255.878,2233.16,2258.344,-24.954,-1.105,35550922.23,24236777.245
801170.SI,20251208,2258.344,2258.134,2261.62,2241.37,2255.334,3.01,0.1335,35702635.84,25014364.236
801170.SI,20251205,2255.334,2250.663,2255.73,2239.22,2253.717,1.617,0.0717,32056488.61,21262372.433
801170.SI,20251204,2253.717,2259.801,2260.51,2245.72,2260.124,-6.407,-0.2835,31078443.72,19849761.201
801170.SI,20251203,2260.124,2242.442,2262.0,2241.88,2244.539,15.585,0.6944,37083274.5,23939374.663
801170.SI,20251202,2244.539,2251.903,2251.903,2238.27,2255.95,-11.411,-0.5058,37119643.41,24941942.497
801170.SI,20251201,2255.95,2228.286,2256.37,2227.75,2228.134,27.816,1.2484,39306203.85,26909548.896
801170.SI,20251128,2228.134,2220.069,2228.46,2212.63,2218.846,9.288,0.4186,31541554.55,20385533.733
801170.SI,20251127,2218.846,2228.39,2228.97,2215.06,2228.507,-9.661,-0.4335,27362357.74,17998307.237
801170.SI,20251126,2228.507,2229.51,2243.14,2227.58,2228.427,0.08,0.0036,34365117.26,21637624.193
801170.SI,20251125,2228.427,2232.804,2235.32,2224.53,2230.987,-2.56,-0.1147,34911405.9,22779389.937
801170.SI,20251124,2230.987,2244.321,2252.78,2222.88,2238.571,-7.584,-0.3388,36637762.26,23849666.072
801170.SI,20251121,2238.571,2273.092,2282.96,2238.57,2285.466,-46.895,-2.0519,44848449.5,28503995.914
801170.SI,20251120,2285.466,2294.39,2300.91,2284.05,2292.992,-7.526,-0.3282,33040231.07,21573817.584
801170.SI,20251119,2292.992,2305.628,2312.8,2286.29,2303.932,-10.94,-0.4748,38296744.2,25397065.121
801170.SI,20251118,2303.932,2334.207,2334.21,2299.19,2337.434,-33.502,-1.4333,44808837.78,29433880.607
801170.SI,20251117,2337.434,2349.693,2349.693,2328.63,2356.366,-18.932,-0.8034,43734859.2,30225516.948
801170.SI,20251114,2356.366,2357.674,2371.58,2356.366,2360.12,-3.754,-0.1591,48418679.93,30534675.153
801170.SI,20251113,2360.12,2349.23,2361.3,2343.25,2345.0,15.12,0.6448,41832476.91,27952525.086
801170.SI,20251112,2345.0,2345.229,2351.64,2339.85,2346.667,-1.667,-0.071,41304591.27,26555982.071
801170.SI,20251111,2346.667,2346.378,2350.4,2338.33,2347.911,-1.244,-0.053,40287600.13,27484730.731
801170.SI,20251110,2347.911,2314.511,2351.63,2310.78,2314.067,33.844,1.4625,49422535.35,34390640.006
801170.SI,20251107,2314.067,2309.396,2319.32,2309.396,2305.224,8.843,0.3836,43176581.01,28813505.59
801170.SI,20251106,2305.224,2307.212,2307.84,2297.37,2306.118,-0.894,-0.0388,45639849.35,29932952.876
801170.SI,20251105,2306.118,2286.36,2312.84,2284.49,2297.156,8.962,0.3901,50104907.2,30333459.43
801170.SI,20251104,2297.156,2304.57,2311.6,2289.32,2307.357,-10.201,-0.4421,51088147.05,34168669.594
801170.SI,20251103,2307.357,2288.927,2308.21,2288.65,2289.794,17.563,0.767,50318457.61,32806399.357
801170.SI,20251031,2289.794,2297.813,2298.65,2281.9,2300.75,-10.956,-0.4762,57763234.76,39386967.572
801170.SI,20251030,2300.75,2301.889,2313.75,2295.11,2298.116,2.634,0.1146,53506922.5,36200968.483
801170.SI,20251029,2298.116,2290.257,2298.72,2272.11,2290.254,7.862,0.3433,48585726.64,32279581.333
801170.SI,20251028,2290.254,2286.591,2305.53,2284.83,2284.86,5.394,0.2361,45615612.61,31118074.619
801170.SI,20251027,2284.86,2282.124,2294.74,2277.22,2276.118,8.742,0.3841,43553726.5,31164348.61
801170.SI,20251024,2276.118,2296.071,2299.08,2271.64,2298.589,-22.471,-0.9776,44110396.05,29893947.097
801170.SI,20251023,2298.589,2287.766,2300.38,2279.2,2288.454,10.135,0.4429,43182099.35,29062423.606
801170.SI,20251022,2288.454,2289.421,2294.38,2282.9,2296.956,-8.502,-0.3701,38825962.14,26567277.717
